provider,incidents_per_year_2019_2022,incidents_per_year_2023_on,change,incident_hours_per_year_2019_2022,incident_hours_per_year_2023_on,hours_change
aws,106.75,,,,,
cloudflare,379.25,699.0,0.8431114040870138,930.5008272222221,2757.6229587037037,1.9635900130641457
datadog,57.5,32.333333333333336,-0.43768115942028984,99.92916666666667,114.24444444444445,0.14325424953786703
gcp,120.5,257.5,1.1369294605809128,1246.384236111111,2902.491111111111,1.3287289962582323
github,83.5,162.33333333333334,0.9441117764471059,174.6125,320.52777777777777,0.8356519594976175
