ticker,company,fy,revenue,fy_end,cost_of_revenue,gross_profit,rd,sm,ga,op_income,sbc,sga,gross_margin,rd_pct,sm_pct,sga_pct,op_margin,sbc_pct
ADBE,Adobe,2007,3157881000.0,2007-11-30,354694000.0,2803187000.0,613242000,984388000.0,274982000.0,857585000.0,149987000,,0.8876797447402229,0.19419414474452965,0.31172422266703526,0.3988022347897213,0.2715697646618096,0.04749608994132458
ADBE,Adobe,2008,3579889000.0,2008-11-28,362630000.0,3217259000.0,662057000,1089341000.0,337291000.0,1028271000.0,172474000,,0.8987035631551704,0.18493785701176768,0.30429463036423754,0.3985129147859054,0.28723544221622516,0.04817858877747327
ADBE,Adobe,2009,2945853000.0,2009-11-27,296732000.0,2649121000.0,565141000,981903000.0,298749000.0,690513000.0,167581000,,0.8992712806782959,0.191842905942693,0.3333170392412656,0.4347304498900658,0.23440171658259934,0.056887088391715405
ADBE,Adobe,2010,3800000000.0,2010-12-03,403502000.0,3396498000.0,680332000,1244197000.0,383499000.0,993074000.0,231086000,,0.8938152631578947,0.17903473684210527,0.32742026315789474,0.42834105263157896,0.26133526315789474,0.060812105263157896
ADBE,Adobe,2011,4216258000.0,2011-12-02,437873000.0,3778385000.0,738053000,1385822000.0,414605000.0,1099299000.0,286103000,,0.8961465356247175,0.1750492972678617,0.3286852939265102,0.4270201206852142,0.2607285891897507,0.06785709033934831
ADBE,Adobe,2012,4403677000.0,2012-11-30,483782000.0,3919895000.0,742823000,1516159000.0,434982000.0,1180191000.0,298502000,,0.8901413523289742,0.16868244423921191,0.34429387078116763,0.44307087009333335,0.26800126348957926,0.06778471718066516
ADBE,Adobe,2013,4055240000.0,2013-11-29,586557000.0,3468683000.0,826631000,1620454000.0,520124000.0,422723000.0,328987000,,0.8553582525325258,0.20384268255393023,0.3995950917824839,0.5278548248685652,0.1042411793136781,0.08112639449206459
ADBE,Adobe,2014,4147065000.0,2014-11-28,622080000.0,3524985000.0,844353000,1652308000.0,543332000.0,412685000.0,333701000,,0.8499951170285491,0.2036025478259926,0.3984282860287939,0.5294443178488883,0.09951254682528488,0.08046678795726617
ADBE,Adobe,2015,4795511000.0,2015-11-27,744317000.0,4051194000.0,862730000,1683242000.0,533478000.0,903095000.0,335859000,,0.844788803528967,0.17990366407250447,0.3510036782315795,0.4622489657515122,0.18832091095192985,0.07003612336620643
ADBE,Adobe,2016,5854430000.0,2016-12-02,819908000.0,5034522000.0,975987000,1910197000.0,576202000.0,1493602000.0,349297000,,0.8599508406454599,0.16670914162437675,0.3262823195426369,0.42470385673754746,0.2551233851971926,0.05966370765386212
