year,aws,cloudflare,datadog,gcp,github
2015.0,34.0,37.0,8.0,0.0,5.0
2016.0,14.0,7.0,10.0,0.0,14.0
2017.0,45.0,4.0,9.0,0.0,6.0
2018.0,12.0,15.0,28.0,8.0,6.0
2019.0,14.0,39.0,26.0,2.0,1.0
2020.0,18.0,37.0,28.0,9.0,5.0
2021.0,17.0,53.0,35.0,9.0,15.0
2022.0,7.0,41.0,20.0,25.0,19.0
2023.0,0.0,32.0,9.0,13.0,23.0
2024.0,0.0,39.0,16.0,28.0,26.0
2025.0,0.0,52.0,15.0,0.0,36.0
