RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31
102001,0,United States,country,,1140.6376614800981,1146.953577314926,1155.527561287295,1164.296720312476,1172.9278450350287,1180.4215800105792,1185.9813551682219,1189.491553835874,1191.3306302964904,1191.630411940164,1191.928446077366,1192.3408952292077,1195.3068819592377,1199.9504826159523,1205.757370701862,1213.6832841957132,1221.8620717837086,1229.9539651470702,1234.218820069238,1236.1380873984085,1235.84331882976,1234.4940662726142,1233.2731153525162,1232.6374542108365,1237.0730083512046,1244.6269495224149,1255.9660458567273,1265.504910995911,1274.5963600276432,1281.4852906902615,1286.0749763067852,1287.46163068508,1287.6701986692563,1286.0321175003864,1285.9078582067775,1286.6382057681576,1291.3643853696935,1298.5412484256717,1307.8885040104433,1317.1754425880263,1325.1189009940242,1332.3441694239996,1337.4008084012912,1340.2489650422467,1339.293391577698,1338.6208849025,1339.2640995269987,1341.3823608420305,1345.1975495865188,1350.9669109705592,1360.9772550669793,1370.9878766342715,1380.672642147857,1388.2928256118096,1393.6608420032778,1396.2463832844114,1395.6668791782076,1393.9874581886243,1392.8666962418426,1394.0869800051385,1398.9986378281221,1406.7722424676483,1415.1432825462066,1416.8231515286518,1417.1282994969558,1418.305539286485,1423.5713718127681,1424.871415034272,1422.3132716119537,1419.2587384036026,1417.6153169513793,1419.6641833808835,1428.167758531805,1440.579711246249,1455.8972221983852,1473.70305177834,1497.5880221460852,1525.8098792220248,1555.1998972531399,1582.5301222462997,1604.6048961695935,1618.3862593742224,1627.5112854911497,1636.61329175691,1647.106891101163,1661.5270257617663,1676.4001591985175,1695.8822235806276,1715.7735349554487,1736.1895816323256,1753.0494624568307,1762.5362155172397,1764.4773748864839,1759.8513816543486,1753.9775709932753,1751.3627489954263,1753.3120167797595,1759.9939584383292,1772.5510494713733,1783.1943063034826,1794.6564728951737,1801.0428939195392,1809.1297691840384,1813.2445397962397,1813.3933014247953,1809.8808557650352,1804.9516643120112,1802.7334097983962,1805.7908995773423,1813.3118558381425,1823.500088116632,1833.8180381773216,1844.293574027316,1853.395483221318,1860.1391938407442,1862.9337031710165,1862.4220414641889,1858.8776963666166,1855.75020034152,1853.813785067969,1858.0640276190363,1865.9568517029384,1877.0351894028352,1885.8786091150084,1892.961266926564,1897.8107934841823,1900.283253864211,1900.7440173637792,1899.6877707044866,1897.5186309005378,1894.1795957573977,1891.5780524221482,1893.6557772896645,1900.7677571533502,1911.2796742709963,1921.7165576023303,1931.0581664582107,1938.6637482848928,1944.1699106142487,1947.9675371292133
394913,1,"New York, NY",msa,NY,2269.050108566774,2284.2539751298227,2303.7300799883137,2322.8884116201093,2338.0664750030246,2353.467758888991,2364.1784696401683,2374.5340988571415,2379.281479483291,2377.4723330708525,2367.9014188511583,2358.2300682832615,2355.403199586307,2359.497135307937,2368.571108797109,2381.405042977557,2397.0012480147693,2412.2394209444205,2425.3049973924412,2429.529398100925,2430.0316294719855,2422.38260252615,2418.0382559898453,2405.952213782829,2402.949274517054,2403.524548851162,2416.1625256562543,2430.800083535956,2449.0213031525386,2463.7031088652784,2474.3761309714628,2476.735060954763,2474.880634325251,2461.030384813594,2445.858825555843,2432.3836093243253,2431.5768040593957,2438.597759116691,2452.7073660618557,2472.325630985408,2491.021927764334,2508.3863087060017,2520.819257393522,2529.7229290506293,2530.0376531041525,2521.260506968266,2510.49731260102,2500.274168808092,2499.674319985274,2509.2474838122635,2525.605766517644,2544.092123153613,2564.483778250555,2586.138906769581,2601.670174052454,2609.3342702171653,2607.606836004226,2602.8368706528104,2590.0986520583933,2583.5310019327308,2583.1274464107996,2596.6955818751294,2605.7150479799366,2599.779374290414,2584.010810213191,2561.629596223438,2537.2817644889224,2490.980309013399,2439.262042968121,2397.298649393134,2365.4611660066016,2352.264836979571,2352.315960534878,2367.5077571090383,2389.2106119069726,2415.918062988095,2459.633982471263,2513.838922797075,2576.597771206562,2637.1310747659327,2686.6521870511715,2721.035109170581,2743.2142092243307,2764.0749173784698,2789.4157566616614,2822.535605324996,2860.6876450573413,2900.883449971162,2950.8614112881173,3003.4622685491095,3050.9015389250285,3078.930998968412,3083.9882015206167,3070.809079923622,3045.57664709144,3027.5734277035363,3025.8533946874604,3039.6066672404922,3065.904659458652,3097.8718971403555,3132.806641844596,3161.3611901442,3181.9945725951757,3192.694460423183,3192.9578981852133,3180.260070237134,3161.592837096513,3150.2438852003056,3156.2924015316617,3175.2595942466746,3203.732019768077,3231.06141901766,3260.4722752310095,3286.1377985248328,3302.454112844506,3308.2220455210836,3300.552457995833,3288.7385869244217,3281.352369981449,3278.139724310371,3290.3423731181624,3308.6353514749703,3338.8651350190976,3367.0419599840766,3394.349092731923,3423.098416226398,3450.941307889046,3469.876056451936,3468.5089797887513,3458.2132930471166,3438.813568029785,3427.6398765335884,3425.58058570279,3443.868213622848,3474.1897453016486,3506.2287920651165,3544.4358938922783,3576.847592924941,3606.040674372215,3614.999069621115
753899,2,"Los Angeles, CA",msa,CA,1750.925314032122,1761.7631343721557,1777.0932267032101,1792.35724169762,1807.6160549151687,1819.0143329060093,1832.164911478401,1842.515888073206,1852.857397319075,1857.6792751771322,1862.4572172170397,1868.3205164444237,1878.465130001882,1888.280270787345,1898.5316528589492,1908.3837977667379,1922.343702564119,1934.7920217877047,1947.1497116495925,1953.2573433597101,1958.7274322515,1959.5616123488164,1962.1108593987308,1965.2807236835915,1979.0470249507455,1994.9267441474674,2017.1036922570656,2030.432127278345,2044.2406231344366,2052.4894482636264,2062.609838173524,2067.760775406772,2072.7875859650053,2072.8924388070855,2077.3918082037494,2081.9995131772616,2093.4336465702336,2105.3471561618685,2115.533158048668,2123.9751725675883,2131.835530824309,2143.6972990995746,2154.399416055131,2163.2158698568833,2166.717582127712,2170.312594550626,2175.8316076176907,2181.999089750671,2186.621245883403,2190.3231016400136,2201.5035752761123,2212.7600094096006,2225.5225079962847,2234.346839534106,2242.4955206611558,2247.6060202811886,2250.60037323253,2251.8365430836748,2255.1172671315517,2258.882192435531,2266.695281346446,2271.0230509763282,2271.586676185365,2260.584953757767,2251.983743886728,2247.859499397131,2250.1111701313334,2249.45531917963,2247.8771616173767,2248.234069039191,2249.3087944139397,2249.4642205027344,2259.8229587743785,2271.9868541671344,2286.796449329126,2297.964967795411,2316.503638422175,2350.0875236644606,2393.513358819272,2443.3967109493324,2481.1669251099347,2505.6628297379484,2519.9666375981574,2536.887847528248,2555.295453780261,2580.357980590468,2604.6974487201587,2635.124924671998,2659.1135670298113,2682.7283200074,2701.347040013458,2715.4373109796406,2721.0030323452233,2716.1531203712057,2710.543434510456,2702.830755052417,2701.996455316357,2706.209362008962,2720.982295770491,2730.9758174811286,2741.221160102993,2747.74425089193,2760.954941419508,2771.080855835412,2774.1689289254145,2770.8615002582847,2761.5886500221495,2756.532150442121,2760.2398203155476,2769.392787783399,2781.151506546359,2789.2751226328387,2800.001294277023,2811.353281844944,2823.3314805162427,2830.69629756858,2834.970207217633,2832.0791956121407,2827.008983289631,2821.249841122956,2839.6641429856745,2859.9414620319662,2881.080197741891,2880.7182923421697,2883.8531659161436,2888.0452333422445,2891.8882400390307,2894.442376625821,2895.7263634797287,2894.940038154145,2890.8280582114066,2883.3362375830334,2885.990254501254,2892.434713676526,2906.0818267103155,2916.486309532435,2926.146389453722,2932.771843711692,2935.39394917209,2940.545241116293
394463,3,"Chicago, IL",msa,IL,1355.4842671543781,1363.0294781476707,1373.2121373959535,1382.7030179838332,1392.164057969114,1401.385060193289,1405.5515702587531,1407.9150454477526,1402.7551654801694,1395.8796253199712,1389.2543693112036,1389.8042451614647,1397.803623753183,1407.3350319081471,1419.016422973197,1426.6671150697139,1435.117331409867,1441.7678398079863,1447.5823889448043,1450.5429304471247,1444.0739017221633,1434.8648141900858,1423.7689367634384,1418.1353896601527,1423.84473353423,1437.1396409851443,1455.8015232426344,1469.1499902235528,1480.3949829375667,1486.4390449838488,1487.973043572212,1483.6628810987033,1477.8535419617856,1467.2702998956236,1460.2964992527768,1457.8418511804464,1466.2618179153178,1478.1074530517208,1490.9987199303691,1501.621508772806,1511.5904840448986,1520.2352267321628,1524.6548948148397,1521.9309092580788,1511.1760066064694,1500.2458030773257,1493.9184950226409,1495.0488873239406,1503.4446442095257,1513.8604324112557,1529.6933552690068,1543.195458519034,1555.1659748665274,1561.6556369196073,1564.0308185128067,1563.068404479403,1557.9225869214697,1550.9725878705747,1544.3861701318713,1540.0606453512405,1548.8674258823412,1560.4200413934748,1575.3003440045402,1576.8276251085379,1576.6766644867776,1574.4880753125124,1574.1182076294633,1568.368127686717,1554.2861012671558,1534.1352646362204,1518.253279799896,1512.25208274746,1516.0699722848426,1527.3661892151342,1543.685462304549,1568.0648351283098,1593.320219130569,1617.3864551457461,1635.128228789914,1647.155523485644,1654.5148116275798,1654.2529255284671,1655.2911299586722,1661.0044654024105,1674.1764233694303,1689.505976944876,1708.5674318287631,1732.3599015490176,1757.351491410818,1776.8372808178424,1791.6230906799728,1798.7752608866658,1800.1789371718771,1796.0085314939895,1790.8118816131682,1791.46586657323,1799.016600310186,1813.8503950716365,1831.788840362764,1850.0703910901555,1870.0976144012106,1886.7134853306127,1898.5911224217532,1904.710895651544,1901.1617198671865,1894.2465559833054,1888.126906899059,1891.041008593588,1900.0398123860123,1914.4269825207357,1929.1690888649289,1947.998347943472,1964.1728669578129,1979.6311432971129,1987.957480162862,1991.3707081380492,1990.715017100485,1989.3895853249483,1988.803565667419,1991.2456545371635,2000.1210386908263,2017.0655855283637,2037.1231470286684,2058.146078204308,2077.2380474426654,2094.3635049381805,2104.074582260032,2107.0207889883104,2106.011278515324,2101.9651413256825,2099.2101260824156,2098.351873451907,2109.6138026721455,2127.3266222659045,2149.297524564213,2168.779671532969,2187.9905127534716,2204.0483158112716,2212.200086480872,2209.961721333606
394514,4,"Dallas, TX",msa,TX,1050.9594439366158,1055.7717279181745,1063.4487610477677,1074.601585112596,1083.7605027276709,1091.8067782929957,1098.0347796680533,1101.1368550294492,1102.2844865260442,1101.5726484533784,1102.2012873348663,1103.9987825642927,1106.3175890613568,1112.239509234089,1120.0698944256146,1130.4766134695099,1138.7702390873212,1145.9623888109668,1150.1539784000493,1152.9042623994021,1152.7318643592453,1153.8133114965128,1153.42602694627,1154.4534068016553,1159.1612776054185,1164.901656732629,1176.8065075506759,1185.667522068193,1198.19509686214,1204.4786668502366,1208.9822912899278,1210.0344056766157,1209.1072695134337,1207.0642504791347,1208.875732460932,1209.2132081977334,1213.409844497918,1218.9328959446436,1226.0945957282627,1234.006133115848,1239.1318259664104,1246.9375869262335,1250.3249607449732,1250.7600054621485,1247.633205748175,1250.2397530287938,1251.974749814529,1255.1304427924777,1256.585521134756,1260.473099490476,1270.5814934878802,1279.3572241782708,1288.0890618153483,1294.506668958849,1297.1227679084823,1298.7757601796611,1297.3768652978617,1297.5195855760949,1295.5861321902694,1293.0743649503197,1294.8110952810077,1300.6614274854803,1308.5407874802938,1309.6918728200487,1309.5918982592148,1310.7073379699643,1314.585133029163,1318.2870709181586,1319.902488970837,1321.7850896902373,1322.63581604023,1326.3390667085591,1335.2477595981413,1347.2377200837677,1359.380015039548,1376.187839116161,1398.9594862934673,1429.947016908252,1461.5599823412886,1491.490466378463,1512.9126827337059,1525.9346063887274,1535.640263553856,1544.750182057313,1555.7487794530496,1567.6469190242656,1580.822988236568,1598.48552559187,1619.7056629234999,1646.2299504093655,1665.9477920063032,1672.56906121888,1666.7154154704328,1653.0615871614277,1643.0606943780024,1635.9461993584603,1635.1736093536547,1638.0232806189545,1648.901610104267,1653.4504107782866,1660.8751333822104,1662.207787772517,1668.8507042132605,1668.5222104296035,1664.0823187065018,1655.5876841089441,1648.120018143148,1640.0043669092902,1636.923347891881,1635.764924753815,1639.303719745567,1644.0433673441566,1649.9569746311884,1655.7481616675482,1658.9278185260862,1658.8881221616002,1652.9120985985212,1646.7777841679938,1638.032939341226,1632.0572623671185,1630.0121512400297,1634.849708078401,1644.7557227750556,1653.922861694167,1658.7521554191812,1659.191032787038,1656.1537867381894,1652.3583644032897,1647.5428559469708,1642.2588776711161,1637.2150488490395,1632.961915285715,1631.5391100957138,1634.9028232945047,1641.6547361798719,1650.5569690019804,1655.091611452694,1657.802998669889,1657.8275275737176,1659.4875283293725
394692,5,"Houston, TX",msa,TX,1203.5530516983415,1207.1733440847725,1213.6033530451523,1224.8237136830307,1234.1778782792765,1242.7402188117183,1243.9216074858944,1244.9658703796795,1242.4898181347523,1239.4326537381212,1235.6073913900104,1232.5109686776082,1233.0668728669043,1235.0140322764757,1240.3678727539318,1245.1792867909746,1248.8215456046653,1250.5682617234318,1249.3959620372252,1246.4903578674125,1240.7057108842737,1236.7550226960084,1231.075622775174,1229.208097014464,1230.0449732114357,1237.8527358563695,1246.1841561528036,1251.6954757389205,1259.5221649612265,1261.0298591938117,1261.129178712739,1255.964638594047,1263.037756153602,1270.9837847076396,1281.2968140309586,1286.1620554137467,1289.231819848043,1295.853848176773,1298.0555768875133,1305.312280182914,1307.389879019217,1312.1488269699264,1311.7249027629477,1309.92121455545,1306.7519594076848,1306.8090535181732,1309.3783140253024,1308.7345621639845,1309.1057301869828,1307.6370726811724,1314.367177700563,1319.7384847330648,1328.4811669089352,1334.182671398944,1337.8396673544462,1337.0122783216013,1333.852035246036,1332.3950557409905,1332.1854377073096,1335.393196791962,1338.6969732889665,1344.3235204540276,1349.6442307827886,1346.6288560105254,1341.42247234452,1337.6834751248855,1342.434064467434,1347.3614132473404,1347.3882102868017,1348.3619525092306,1349.5482516043107,1350.2436218424737,1355.4375922640106,1358.8868664556355,1368.7837420922963,1380.9112959730194,1401.6446198905182,1428.0890961666428,1452.821307913239,1475.2861738969448,1487.3963416314111,1493.9438919296642,1496.7665386313656,1500.9489347846409,1506.5982123042552,1516.9255390150965,1527.278406025123,1541.2590452506338,1552.9518854800951,1568.4925268966547,1579.4580385018191,1585.6467889297799,1581.9019998332983,1575.944681133986,1567.5544852582943,1565.9517852093334,1567.8176852112917,1576.2094388949645,1587.874615921785,1594.562624909513,1603.5029744163894,1610.081070732617,1616.7774234405622,1617.707950273142,1612.6576841159033,1607.0320019316944,1601.2810892459677,1599.583112934448,1600.8911314648026,1605.045050841241,1608.8302475107766,1616.4543798964949,1624.4150708732386,1632.6968289084873,1636.7682976206702,1639.5689665356367,1640.012435095422,1637.5062808015837,1632.4730764067517,1629.0307419389678,1628.8612489006346,1633.064517866158,1640.6056998918204,1646.0179488565916,1648.5103132058503,1643.8440212877802,1644.2950194951616,1642.1801302750807,1642.3071063543566,1637.382672637583,1632.5921284861336,1629.2278360076002,1627.2033952918946,1625.351685424098,1625.9465308483975,1630.0427089441914,1636.9367577482376,1641.611970229321,1643.3460564259726,1642.8215337416416
395209,6,"Washington, DC",msa,VA,1698.5669827260897,1705.8454421115425,1717.7049551107327,1726.0589148709198,1734.7359247661107,1741.3578337080914,1745.632219903543,1743.4646398283605,1742.6454538135474,1737.5227416568987,1737.0603762955316,1732.4730411562764,1736.3069667320838,1740.1583460627173,1749.6817613248181,1756.709697786298,1765.259604659634,1771.2459171419114,1775.8508176200232,1777.0892213795778,1773.1230635430209,1767.5422042867563,1761.5810924688305,1759.243223317069,1764.450937157075,1776.8544292126742,1790.175085130417,1801.3886126128632,1808.279171824635,1815.7377940727574,1818.77128518249,1818.169510594198,1815.9060459946552,1811.605227073702,1807.0273840913173,1804.0915211556887,1807.8772240143107,1814.6259434476897,1826.8217733416643,1837.7584143209488,1848.2928376731188,1857.1122414981564,1862.6941368520645,1867.9333327988031,1862.0665796720107,1859.5877222397526,1858.6971547297455,1864.292840025008,1869.148917137103,1876.7548372046372,1887.7488627004855,1899.4326074624707,1909.8348866697047,1917.5749950662332,1922.38225225355,1923.7439593512377,1923.8062348969493,1918.1439033995482,1912.7722477923155,1913.1658528492321,1921.3352817000912,1929.8260097175298,1940.613819734165,1941.4231771342738,1940.9810340292993,1934.9512458162071,1933.8575392615583,1929.667371600853,1917.1719322803583,1900.0434757086696,1880.1958423232259,1869.145302978229,1872.2851505040767,1881.3777916061592,1892.6952239768484,1907.1036306037402,1934.3143092252792,1971.7724885640823,2008.606883902186,2039.2934420567422,2057.363477477713,2066.8217398384304,2067.2920104594696,2066.9879968809632,2069.380890446754,2080.8631951993752,2099.160271046561,2123.010097029879,2148.3188004817057,2174.4222996043127,2198.520532454216,2209.786625128889,2209.506118820389,2193.0785083232604,2176.444395441756,2163.335659405551,2164.5064906196944,2177.016631246075,2201.7064634959947,2218.1582129714793,2236.4012440138854,2247.653851922389,2264.6108001448924,2274.4325307421213,2275.7629664155193,2271.060258239859,2262.2149135189657,2255.345615742486,2258.441588608626,2272.3940364054347,2292.223163237907,2311.8972941652487,2332.351593542392,2353.1413769082237,2369.8001098462178,2376.715215517208,2374.018736629118,2364.565380070721,2354.3066696804794,2348.776931464379,2357.1417673244946,2373.1177712106796,2393.5557977228764,2405.8084762440703,2413.5795122753684,2417.982841986232,2418.187685424345,2414.323480946897,2404.1112536025053,2390.001061928916,2374.8388608729756,2364.9244106487713,2366.7106153194895,2377.8169411329836,2392.5633665975433,2404.55758737215,2413.923488029943,2419.8843349199205,2427.229085054853,2432.510020507038
394974,7,"Philadelphia, PA",msa,PA,1186.3860746148337,1193.3250685919609,1205.3204710495806,1211.6781748966241,1217.2835604570664,1220.475643442227,1223.184222996437,1223.75417962367,1222.5638542701047,1220.8402939826535,1216.9532004444472,1214.6556852387605,1215.983333426465,1223.7786447592,1232.635844197345,1241.9495955156692,1248.568091788862,1256.1948233573873,1257.2350564665196,1257.226303453728,1253.033484515468,1251.6424390846448,1252.979382475432,1254.0560676816888,1258.620718738235,1264.8848183688044,1276.4988457598315,1285.1466837785172,1290.745422223964,1291.427707102786,1292.184671677522,1291.9888863551653,1291.089318344604,1290.4653894957303,1289.3157840466502,1292.0452260233349,1294.7229365829157,1303.4854476351286,1314.7428642389045,1324.9821892016962,1333.0302149504357,1336.5435820092448,1337.0650503279405,1336.0709143315585,1333.5188707713382,1334.8800576921271,1338.1139862808234,1339.8223263110765,1344.2734360046152,1350.6933541022638,1363.9660368525522,1375.7829053179714,1383.361750459202,1390.8663401374824,1394.2660897517267,1394.030524373155,1389.862392532337,1387.8818405500213,1387.799867064459,1389.5951739217173,1393.4433122966227,1404.6631383223921,1417.2361950223365,1422.784713327451,1424.4352517183931,1425.7329713938866,1431.3543451592118,1430.8285847088268,1429.071625630152,1427.4032095887057,1427.990045821853,1431.1028311868145,1437.5315298244816,1446.7344444506457,1456.3622514123026,1471.3681470507283,1492.7526735848217,1514.1739824903132,1532.249322176923,1547.1846827875472,1554.4652636920741,1562.7765108197214,1570.9078213902033,1586.884294633998,1598.608349022653,1609.738577646698,1620.72527350903,1634.7127119081529,1649.803337109157,1664.291314673949,1675.1883746219928,1679.2100046511116,1678.7457100714344,1673.3346247030545,1670.6007320953815,1667.3492177379246,1672.058527322848,1676.3023309100374,1689.894749857727,1699.8786029494854,1712.348729991066,1717.1115457531373,1723.7784355819988,1728.2182857882688,1732.539896690367,1733.183297800833,1730.8713040542457,1728.506696661545,1730.271649058701,1739.2764760174637,1750.283739579982,1761.349131756296,1771.07597844021,1779.8053148302224,1785.4857059115502,1788.481835677164,1789.6044585958375,1790.7894615670425,1792.5726478682268,1796.3133164165758,1801.4359373836567,1807.467304676905,1811.9941098441088,1817.7471676662942,1823.607518947504,1830.7638737165425,1840.8822301036591,1845.5298129788969,1850.3040696896499,1850.3097953204785,1851.2005806226205,1852.9276868549953,1855.7237826772707,1865.6190430603897,1872.0539466851053,1880.3462660977552,1886.1898834403883,1896.4487672339772,1903.3909419825247,1911.102601270376
394856,8,"Miami, FL",msa,FL,1459.6033378151087,1464.947166736595,1470.281967956092,1477.2402430688462,1485.551468897059,1493.896979584227,1502.7058545514021,1510.013557843529,1520.6221212630103,1528.0878444463553,1537.369725344975,1540.510282248949,1543.9515264605102,1545.162285263076,1547.438306142827,1549.3937425813033,1549.1220892644887,1549.6087678416732,1551.2558042134465,1553.895007322385,1558.8649962372065,1561.3180054006082,1564.9559114680014,1563.7698557653766,1568.764896074429,1572.1903512810088,1580.5988106446962,1582.6354734848103,1585.0635173549506,1587.554762659057,1592.7098558046384,1599.786029761513,1606.2943769329204,1611.4316102800801,1612.7573474678147,1613.782612480066,1615.601859173511,1618.3797684082965,1621.9048823378403,1626.0882300766702,1630.1515075398265,1635.2336042324466,1640.2200133677657,1646.751634204323,1651.5921549616971,1658.8518970172615,1664.798093299835,1670.332319052599,1669.1173157809048,1668.2125835136776,1668.2609335664308,1671.3028838092737,1676.1284761417485,1680.3814064653186,1685.3967920807413,1688.8549963548692,1694.7299599504965,1704.2292864929798,1714.6535955131353,1721.224560066094,1722.7517283965788,1725.3323650943044,1726.4459575381713,1720.7319283685533,1712.2939352170401,1711.0997117687634,1716.619440691186,1722.1021009877688,1726.9069258900977,1739.1711018483097,1756.2764471618557,1772.6044125764663,1788.2974305202767,1811.2806077634593,1839.0170286630907,1872.2857924329455,1910.732498114989,1959.6271252170427,2023.4216533131566,2085.7328386768304,2142.687865574741,2182.8211805514184,2226.272838750921,2270.692367337513,2311.7515440638745,2344.683297891889,2379.956140683786,2420.762404760573,2460.269211336402,2487.216905986125,2506.965248530651,2514.171153508112,2521.999904917004,2524.6250685026826,2530.878324504078,2533.3675465214956,2533.895160208957,2535.418512607919,2540.6772050693503,2545.5698575786764,2551.495931761354,2554.449401065975,2558.408967762204,2562.531955825948,2566.359675520644,2573.317025077444,2574.6908704805587,2570.3693778855704,2568.869668873777,2574.143658970873,2584.157975605031,2590.9564156853457,2594.223328780472,2596.833354748676,2601.460206082713,2605.6286259600065,2611.0428724545004,2612.4119665002418,2612.330401263718,2611.963295024614,2614.025065288609,2617.7980529885663,2621.8818283186465,2623.763004382084,2624.022599865299,2623.7203525407795,2623.306067597777,2624.035625270811,2624.417942390759,2625.653594286559,2627.197840819991,2626.498160504913,2626.341846245982,2630.5553997835705,2639.0544388940825,2647.4796038412082,2652.1984025050533,2653.930707160348,2659.537189266233,2666.0401215797647
394347,9,"Atlanta, GA",msa,GA,994.4890493212384,999.1476111504264,1002.5304686305044,1012.2697115197502,1020.201040111356,1031.0985205530942,1036.6661120970618,1039.5219236397975,1039.9627712837657,1040.560208549594,1041.2348932639911,1045.111570601989,1048.6820058497221,1055.497615845953,1062.1127304461938,1069.855867710042,1078.9803512857798,1087.8222731989424,1096.0197427039932,1099.7102806699227,1100.0306228831823,1100.8109186273125,1101.123735956545,1103.3164345687608,1106.6944122508087,1114.6358355436737,1125.8658199090482,1137.755382556841,1150.1883195085554,1160.107450421685,1168.563192715897,1171.4281021310376,1173.6777315166814,1170.6875027565834,1172.8767830086178,1174.0766335471499,1181.2233052008517,1188.7722389018263,1200.199552906094,1211.82855347769,1222.508415817442,1230.4707716235287,1235.8904032664122,1237.4185775455069,1237.2461438725977,1242.7554625534642,1248.3010334228065,1253.9331658375343,1258.5548722992503,1265.5225129501434,1277.5398181522307,1288.646599794956,1299.6164326041865,1307.6418970049624,1312.7851235524554,1316.140465022617,1318.1366212412247,1315.8013979800764,1313.1437125685811,1313.1272578347996,1317.8286262515762,1325.2046010809909,1333.5286019777232,1338.2580482837493,1343.4697081674722,1351.2307236535598,1365.7631374741832,1379.697231100988,1387.762130210178,1393.0287479965496,1397.0341186917246,1403.8755405444608,1418.3357083289902,1436.1592502560106,1454.8757380695015,1475.2780842559278,1501.9730718076669,1539.177012210643,1578.770511957181,1619.6124777069397,1650.3652343484048,1668.7521955903794,1674.2782322752034,1674.0763524238457,1676.889308904533,1681.7806583046356,1693.5843420909464,1706.7621244427744,1726.9799015807812,1746.451382753673,1767.4218309778223,1777.8912356155936,1779.3858304089395,1768.75874692885,1757.5331088046528,1751.8483201526562,1749.383351799745,1753.992187024914,1766.2056525669338,1774.547597780819,1780.6888261653269,1779.286656948053,1783.8243966921632,1782.523453059414,1779.0408936812623,1767.1569755635219,1755.1170794394523,1745.5891345833745,1747.9499637523136,1757.196801282637,1763.6496015049872,1769.353897962074,1773.8213169310127,1781.1535429037533,1785.017305785412,1784.518199261801,1783.047154218823,1776.5612428371687,1770.1647475143477,1764.555833086373,1769.2652849819158,1781.0195916959915,1792.6043640171983,1799.0941853229463,1802.5012090848313,1806.0250573034514,1811.4897044408185,1816.2496629997224,1818.8962316727361,1816.367905404872,1810.319751919786,1804.3239069984522,1805.2480032583392,1808.090421025534,1813.6606176839148,1819.5240692857303,1828.900404545911,1839.4033286843244,1848.0001791673117,1852.9852706217243
