DATAFLOW,REF_AREA,FREQ,MEASURE,ACTIVITY,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,ASSET_CODE,CONVERSION_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DECIMALS
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2016,47.45317225592028,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2023,56.72687591106094,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2012,44.770873906036336,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2011,45.03867224438914,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2025,47.53676192761396,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2024,47.53503990336249,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2023,47.83114293216779,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2022,48.04011765566055,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2021,47.29308892273692,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2020,47.83532554637768,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2019,46.68327404801195,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2018,46.80656739562788,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2017,46.65693059365348,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2017,57.725089817370865,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2016,56.61756321071513,A,0,2020,2
